1,39,Bolívia
3,40,Nicaragua
4,36,España
5,26,Argentina
6,28,Costa Rica
7,30,Cuba
8,30,México
9,43,Paraguay
10,39,Bolívia
11,52,Bolívia
12,33,México
13,57,Argentina
14,47,Cuba
15,38,Argentina
16,27,Guatemala
17,54,México
18,36,España
19,54,Venezuela
20,31,Colombia
21,40,Nicaragua
22,64,México
23,40,Venezuela
24,24,México
25,40,España
26,32,España
27,48,Guatemala
28,52,Argentina
29,30,Venezuela
30,38,Argentina
31,41,Chile
32,36,México
33,52,Cuba
34,31,Paraguay
35,44,Colombia
36,33,México
37,52,España
38,42,República Dominicana
39,45,España
40,40,Nicaragua
41,44,Venezuela
42,59,Perú
43,65,España
44,47,Guatemala
45,33,España
46,42,México
47,34,México
48,47,México
49,36,España
50,37,México
51,70,Ecuador
52,31,México
53,33,Chile
54,61,Ecuador
55,33,México
56,36,Colombia
57,83,España
58,60,Chile
59,34,España
60,45,Argentina
61,40,México
62,62,México
63,53,México
64,22,México
65,40,Chile
66,39,República Dominicana
67,53,Venezuela
68,64,Argentina
69,35,Paraguay
70,53,Colombia
71,51,México
72,33,México
73,30,Perú
74,46,Argentina
75,50,Venezuela
76,33,Argentina
77,43,Chile
78,28,Venezuela
79,45,España
80,45,Costa Rica
81,37,Colombia
82,37,México
83,51,México
84,36,México
85,37,Colombia
86,49,Perú
87,32,México
88,34,Perú
89,53,Paraguay
90,38,Ecuador
91,34,España
92,50,Argentina
93,32,México
94,40,El Salvador
95,32,México
96,51,Perú
97,49,Argentina
98,43,México
99,46,México
100,35,México
101,32,Venezuela
102,59,Perú
103,43,Venezuela
104,37,Argentina
105,47,México
106,40,México
107,52,Paraguay
108,36,República Dominicana
109,39,Ecuador
110,33,Colombia
111,57,México
112,28,República Dominicana
113,31,Perú
114,35,Chile
115,37,España
116,37,México
117,41,Bolívia
118,47,Perú
119,55,Argentina
120,40,Ecuador
121,38,Venezuela
122,37,Venezuela
123,56,Colombia
124,61,España
125,55,Venezuela
126,53,México
127,29,Ecuador
128,42,República Dominicana
129,32,México
130,36,México
131,43,Chile
132,44,Colombia
133,74,Argentina
134,30,Panamá
135,55,México
136,39,México
137,38,España
138,28,Ecuador
139,41,Venezuela
140,49,México
141,40,México
142,39,Argentina
143,61,Argentina
144,63,Cuba
145,55,México
146,46,España
147,37,Honduras
148,40,Colombia
149,57,Colombia
150,38,México
151,54,Colombia
152,62,Argentina
153,41,México
154,39,Perú
155,36,El Salvador
156,53,México
157,89,México
158,46,República Dominicana
159,41,Perú
160,44,Colombia
161,49,México
162,49,Argentina
164,32,México
165,59,España
166,38,México
167,47,México
168,41,México
169,47,México
170,38,México
171,50,Colombia
172,56,España
173,52,Argentina
174,48,México
175,41,Perú
176,61,México
177,64,México
178,35,Bolívia
179,41,España
180,38,México
181,62,Venezuela
182,43,España
183,36,Perú
184,52,Colombia
185,73,Nicaragua
186,37,México
187,50,Argentina
188,26,Ecuador
189,32,Colombia
190,43,México
191,52,México
192,48,México
193,61,Chile
194,48,Colombia
195,32,Guatemala
196,39,España
197,35,España
198,45,Venezuela
199,27,Argentina
200,40,Venezuela
201,37,México
202,20,México
203,41,República Dominicana
204,51,México
205,42,Argentina
206,46,México
207,39,México
208,52,México
209,35,Perú
210,57,Costa Rica
211,54,México
212,30,Venezuela
213,49,México
214,49,Cuba
215,68,Argentina
216,43,Venezuela
217,63,Argentina
218,50,México
219,23,Argentina
220,56,Bolívia
221,42,Venezuela
222,59,Argentina
223,35,España
224,29,España
225,30,España
226,31,México
227,48,España
228,60,España
229,58,España
230,51,Bolívia
231,42,Venezuela
232,38,Perú
233,48,Guatemala
235,90,Colombia
236,43,Argentina
238,36,México
239,44,Honduras
240,32,México
242,54,México
243,42,México
244,30,Colombia
245,37,Venezuela
246,44,Argentina
247,36,Colombia
248,38,Argentina
249,44,México
250,34,República Dominicana
251,28,Perú
252,39,Chile
253,37,México
254,41,España
255,54,Ecuador
256,37,México
257,28,Colombia
258,4,Venezuela
259,64,Ecuador
260,40,Argentina
261,52,Ecuador
262,44,España
263,36,Argentina
264,41,México
265,35,Bolívia
266,46,Colombia
267,39,México
268,50,Bolívia
269,44,Colombia
270,34,España
271,41,Cuba
272,37,Venezuela
273,31,México
274,49,Argentina
275,55,México
276,34,Chile
277,57,Cuba
278,27,Venezuela
279,38,Panamá
280,34,El Salvador
281,40,España
282,77,México
283,42,Nicaragua
284,64,México
285,60,México
286,74,México
287,32,Venezuela
288,53,Venezuela
289,42,Colombia
290,36,Chile
291,40,Ecuador
292,40,Colombia
293,35,Uruguay
294,32,Ecuador
295,39,México
296,54,México
297,29,Perú
298,44,Colombia
299,41,Ecuador
300,26,España
301,58,España
302,53,Colombia
303,31,Venezuela
304,74,Paraguay
305,46,México
306,38,España
307,44,México
308,34,México
309,39,Costa Rica
310,47,México
311,63,México
312,37,Guatemala
313,36,México
314,51,México
315,36,Guatemala
316,45,Colombia
317,44,Argentina
318,40,México
319,48,México
320,33,México
321,48,Puerto Rico
322,33,México
323,45,Colombia
324,41,Colombia
325,36,México
326,35,Colombia
327,39,Colombia
328,53,Puerto Rico
329,32,Perú
330,33,Venezuela
331,33,Colombia
332,35,Colombia
333,30,República Dominicana
334,57,Colombia
335,50,Colombia
336,31,Costa Rica
337,45,Venezuela
338,48,Venezuela
339,46,Ecuador
340,35,España
341,57,Chile
342,40,España
343,38,Venezuela
344,36,Guatemala
345,41,México
346,56,Colombia
347,38,Chile
348,41,España
349,61,Cuba
350,37,Cuba
351,57,Honduras
352,35,Colombia
353,40,Colombia
354,35,Bolívia
355,45,México
356,47,Chile
357,66,México
358,25,España
359,61,Perú
360,36,Guatemala
361,25,Venezuela
362,34,Argentina
363,44,Bolívia
364,30,Panamá
365,45,Cuba
366,57,España
367,45,Perú
368,51,Colombia
369,29,México
370,54,México
371,40,México
372,37,Perú
373,55,Argentina
374,43,Cuba
375,54,Bolívia
376,75,México
377,37,México
378,51,Colombia
379,64,México
380,38,Nicaragua
381,36,Perú
382,48,España
383,37,Cuba
384,42,México
385,39,España
386,40,Chile
387,44,México
388,31,Colombia
389,39,Honduras
390,51,México
391,39,Venezuela
392,44,México
393,29,España
394,47,Venezuela
395,50,Chile
396,43,México
397,53,Chile
398,45,Ecuador
399,40,Costa Rica
400,33,Perú
401,46,República Dominicana
402,40,Ecuador
403,43,Colombia
404,45,Paraguay
405,43,México
406,39,España
407,25,Argentina
408,47,Colombia
409,55,Argentina
410,50,Perú
411,27,Venezuela
412,45,Argentina
413,41,Venezuela
414,35,España
415,37,México
416,57,Colombia
417,44,Guatemala
418,49,República Dominicana
419,28,República Dominicana
420,47,Colombia
421,63,Guatemala
422,42,Colombia
423,49,Argentina
424,53,España
425,49,México
426,36,Argentina
427,34,México
428,33,México
429,38,México
430,72,Panamá
431,35,Costa Rica
432,33,México
433,51,Argentina
434,43,México
435,40,España
436,59,Colombia
437,32,México
438,39,México
439,55,Argentina
440,50,Colombia
441,40,Perú
442,56,Venezuela
443,40,Ecuador
444,62,Argentina
446,32,Venezuela
447,46,México
448,58,Colombia
449,39,México
451,54,México
452,69,Ecuador
453,46,Colombia
454,43,México
455,53,México
456,32,Puerto Rico
457,60,España
458,45,España
459,41,Venezuela
460,39,México
